id,confucius_institute,partner_uni,date_est,location_name,nearest_city,country,status,ci_webpage,sources,gl3_id,country_id
611,University of California Santa Barbara,Shandong University,,University of California Santa Barbara,,United States,Closed,,,8072,155
612,"University of California, Los Angeles",Shanghai Jiao Tong University,,University of California,,United States,Closed,,,8015,155
613,University of California-Davis,Jiangnan University,,University of California-Davis,,United States,Closed,,,7047,155
614,University of Central Arkansas,East China Normal University,,University of Central Arkansas,,United States,Closed,,,8027,155
615,University of Chicago,Renmin University of China,,University of Chicago,,United States,Closed,,,8073,155
616,University of Delaware,Xiamen University,,University of Delaware,,United States,Closed,,,8028,155
617,University of Hawaii Manoa,Beijing Foreign Studies University,,University of Hawaii Manoa,,United States,Closed,,,8074,155
618,University of Idaho,South China University of Technology,,University of Idaho,,United States,Closed,,,8029,155
619,University of Illinois-Urbana Champaign,Jiangxi Normal University,,University of Illinois-Urbana Champaign,,United States,Closed,,,8075,155
620,University of Iowa,East China Normal University,,University of Iowa,,United States,Closed,,,8030,155
621,University of Kansas,Central China Normal University,,University of Kansas,,United States,Closed,,,8031,155
622,University of Kentucky,Shanghai University,,University of Kentucky,,United States,Closed,,,8032,155
623,University of Maryland,Nankai University,,University of Maryland,,United States,Closed,,,8033,155
624,University of Massachusetts Boston,Renmin University of China,,University of Massachusetts Boston,,United States,Closed,,,8076,155
625,University of Memphis,Hubei University,,University of Memphis,,United States,Closed,,,8034,155
626,University of Michigan,Renmin University of China,,University of Michigan,,United States,Closed,,,8077,155
627,University of Minnesota,Capital Normal University,,University of Minnesota,,United States,Closed,,,8078,155
628,University of Missouri,Shanghai Normal University,,University of Missouri,,United States,Closed,,,8035,155
629,University of Montana,Southwest University of Political Science & Law,,University of Montana,,United States,Closed,,,8036,155
630,University of Nebraska Lincoln,Xi`an Jiaotong University,,University of Nebraska Lincoln,,United States,Closed,,,8079,155
631,University of New Hampshire,Chengdu University,,University of New Hampshire,,United States,Closed,,,8038,155
632,University of North Carolina Charlotte,Chinese Testing International,,University of North Carolina Charlotte,,United States,Closed,,,8080,155
633,University of North Florida,Shaanxi Normal University,,University of North Florida,,United States,Closed,,,8081,155
634,University of Oklahoma,Beijing Normal University,,University of Oklahoma,,United States,Closed,,,8039,155
635,University of Oregon,East China Normal University,,University of Oregon,,United States,Closed,,,8082,155
636,University of Pittsburgh,Wuhan University,,University of Pittsburgh,,United States,Closed,,,8040,155
637,University of Rhode Island,Zhejiang University,,University of Rhode Island,,United States,Closed,,,8083,155
638,University of South Carolina,Beijing Language and Culture University,,University of South Carolina,,United States,Closed,,,8041,155
639,University of South Florida,Qingdao University,,University of South Florida,,United States,Closed,,,8084,155
640,University of Southern Maine,Dongbei University of Finance and Economics,,University of Southern Maine,,United States,Closed,,,8042,155
641,University of Tennessee Knoxville,Southeast University,,University of Tennessee Knoxville,,United States,Closed,,,8085,155
642,University of Texas - Dallas,Southeast University,,University of Texas - Dallas,,United States,Closed,,,8086,155
643,University of Texas - San Antonio,University of International Business and Economics,,University of Texas - San Antonio,,United States,Closed,,,8087,155
644,University of Toledo,Yanshan University,,University of Toledo,,United States,Open,,,8043,155
645,University of Utah,Sichuan University,,University of Utah,,United States,Open,,,8044,155
646,University of Washington,"Sichuan University, Chongqing Municipal Education Commission",,University of Washington,,United States,Closed,,,8088,155
647,University of West Florida,Sichuan International Studies University,,University of West Florida,,United States,Closed,,,8089,155
648,University of Wisconsin-Platteville,South-Central University For Nationalities,,University of Wisconsin-Platteville,,United States,Closed,,,8045,155
649,Valparaiso University,Zhejiang University of Technology,,Valparaiso University,,United States,Closed,,,8016,155
650,Valparaiso University ,Zhejiang University of Technology,,Valparaiso University,,United States,Open,,,8016,155
651,Wayne State University,Huazhong University of Science and Technology,,Wayne State University,,United States,Closed,,,8017,155
652,Webster University ,Beijing Language and Culture University,,Webster University,,United States,Open,,,8018,155
653,Wesleyan College,Guangzhou University,,Wesleyan College,,United States,Open,,,8019,155
654,West Virginia University,Tianjin University Of Finance & Economics,,West Virginia University,,United States,Closed,,,8020,155
655,Western Kentucky University,North China Electric Power University,,Western Kentucky University,,United States,Closed,,,8090,155
656,Western Michigan University,Beijing Language and Culture University,,Western Michigan University,,United States,Closed,,,8021,155
657,Xavier University,Hebei University,,Xavier University,,United States,Closed,,,8091,155
658,"Confucius Institute at the Universidad de la Republica, Uruguay",,,Universidad de la Republica,,Uruguay,Closed,http://zhuanti.hanban.org/videolist/?cat=683&tag=en,,70,023
659,Confucius Institute at Samarkand State Institute,,,Samarkand State Institute,,Uzbekistan,Open,,,109,213
660,Confucius Institute in Tashkent State Institute,,,Tashkent State Institute,,Uzbekistan,Closed,,,110,213
661,Confucius Institute at Universidad Bolivariana de Venezuela,,,Universidad Bolivariana de Venezuela,,Venezuela,Closed,http://english.hanban.org/node_45771.htm,,125,069
662,Confucius Institute at the Bolivarian University of Venezuela in Caracas,,12/16/16,Caracas,,Venezuela,Closed,,https://www.facebook.com/page/338109312883186/search/?q=confucius,14,069
663,Confucius Institute at Hanoi University,,,Hanoi University,,Vietnam,Closed,http://hanu.vn/,,149,232
664,Confucius Institute at University of Zambia,,,University of Zambia,,Zambia,Closed,https://www.unza.zm/confucius/,,79,114
665,Confucius Institute at the University of Zimbabwe,,,University of Zimbabwe,,Zimbabwe,Closed,https://www.uz.ac.zw/,,82,115
